V1	hmm_hmm1	hmm_hmm10	hmm_hmm11	hmm_hmm12	hmm_hmm13	hmm_hmm15	hmm_hmm16	hmm_hmm17	hmm_hmm18	hmm_hmm19	hmm_hmm2	hmm_hmm20	hmm_hmm21	hmm_hmm22	hmm_hmm23	hmm_hmm24	hmm_hmm25	hmm_hmm26	hmm_hmm27	hmm_hmm28	hmm_hmm29	hmm_hmm3	hmm_hmm30	hmm_hmm31	hmm_hmm4	hmm_hmm5	hmm_hmm6	hmm_hmm7	hmm_hmm8	hmm_hmm9	type
FAS_SRR17920651_NODE_219_length_10418_cov_38.717738_g166_i0_1	299.0	87.7	137.5	85.0	99.3	467.7	110.2	324.6	352.7	789.8	137.7	204.4	419.6	758.0	158.9	139.9	103.3	198.1	198.4	357.5	486.5	107.9	252.3	312.9	97.3	70.3	101.4	100.1	82.9	138.5	FAS
FAS_SRR17920652_NODE_91_length_10953_cov_29.019853_g76_i0_3	304.0	90.1	136.7	85.2	102.6	459.3	104.6	316.8	359.2	812.0	141.3	205.1	425.9	772.1	155.2	148.9	110.3	208.7	209.2	356.0	490.0	106.3	254.7	324.7	91.8	74.6	103.4	102.4	83.6	135.6	FAS
FAS_SRR17920653_NODE_957_length_9056_cov_98.653345_g545_i0_1	295.3	84.2	133.6	86.2	92.9	462.1	106.8	324.7	358.3	818.7	133.2	203.0	419.0	767.3	155.0	130.8	104.5	207.1	207.5	360.4	488.9	105.8	255.1	317.4	92.8	81.0	99.5	102.1	84.8	139.0	FAS
FAS_SRR17920655_NODE_450_length_7708_cov_24.659201_g326_i0_1	328.3	94.4	129.0	108.9	94.7	520.3	113.6	346.4	399.5	922.2	126.3	226.4	423.3	745.2	164.8	160.2	140.0	235.5	236.5	384.3	517.3	122.5	254.6	329.9	102.0	76.8	103.0	102.8	89.1	138.2	FAS
FAS_SRR17920668_NODE_15016_length_3166_cov_4.044617_g8666_i0_1	295.4	96.7	126.3	102.5	82.8	486.0	117.0	341.2	352.8	752.5	133.1	205.9	399.8	601.7	160.7	137.4	135.4	223.9	225.0	366.3	396.1	123.5	265.9	333.5	99.5	66.8	95.2	94.9	88.0	136.5	FAS
FAS_SRR17920668_NODE_240_length_11656_cov_27.172840_g194_i1_2	291.9	76.2	128.4	77.6	100.8	469.8	98.4	318.3	353.3	782.6	134.3	194.0	416.9	762.0	151.1	132.1	102.7	204.2	204.7	360.7	481.9	104.5	249.9	317.1	93.1	75.5	98.8	94.7	84.0	131.8	FAS
FAS_SRR17920669_NODE_242_length_10292_cov_26.556904_g189_i1_2	298.6	85.5	135.5	83.6	92.2	452.3	112.4	321.0	340.3	785.2	133.3	193.5	407.6	744.9	154.7	129.2	104.5	188.6	188.8	346.0	485.6	100.5	256.2	301.4	94.6	79.3	94.9	97.8	85.9	136.9	FAS
FAS_SRR17920669_NODE_51676_length_1453_cov_5.173913_g28751_i0_1	306.9	93.8	126.3	109.6	88.6	483.9	113.4	332.7	348.8	819.3	124.2	217.8	406.2	642.8	161.4	156.5	138.4	224.1	225.0	360.7	437.4	123.2	255.3	312.5	102.5	76.5	100.9	103.5	89.8	135.9	FAS
FAS_SRR17920669_NODE_999_length_7832_cov_16.138807_g659_i0_1	327.0	98.2	134.0	102.3	92.2	541.9	116.3	364.4	416.4	880.2	136.0	211.7	430.4	733.2	166.9	141.4	138.7	244.7	245.5	402.8	498.9	122.9	265.1	361.9	100.6	71.0	97.6	94.1	87.3	141.2	FAS
FAS_SRR17920686_NODE_119_length_9700_cov_14.511270_g104_i0_3	307.8	90.7	135.1	80.3	100.0	482.7	98.5	343.1	368.1	783.7	132.7	194.6	430.5	766.7	158.7	132.9	101.0	205.1	205.6	371.0	486.0	105.2	253.7	313.1	93.2	76.8	99.2	95.7	88.6	137.1	FAS
FAS_SRR17920687_NODE_14823_length_2107_cov_8.930678_g10778_i0_1	328.3	99.5	136.3	102.3	93.9	544.8	116.3	364.6	420.2	881.7	136.3	212.3	431.8	737.7	169.2	141.4	138.7	245.3	246.1	404.6	503.9	122.9	265.2	364.5	101.3	71.4	97.6	94.2	87.3	142.3	FAS
FAS_SRR17920690_NODE_31748_length_1642_cov_1.750159_g19910_i0_1	258.7	57.1	91.0	67.4	46.2	397.0	84.9	279.4	318.6	618.2	110.0	140.0	348.9	627.8	119.1	104.2	102.7	195.9	196.3	316.2	473.0	76.4	213.2	285.6	72.3	51.8	81.5	69.9	72.2	100.4	AFLP
FAS_SRR18002372_NODE_1404_length_10134_cov_32.516947_g995_i0_2	234.5	65.1	95.2	50.5	55.8	367.7	61.6	250.7	313.0	521.1	92.5	116.7	321.3	576.7	109.8	79.6	92.8	173.3	173.2	288.1	438.0	61.8	181.2	240.1	37.3	49.1	74.2	36.6	54.8	98.3	AFLP
FAS_SRR18002372_NODE_816_length_11536_cov_32.859025_g596_i0_1	329.9	98.0	128.7	99.1	91.5	524.4	124.6	360.1	415.6	837.5	123.1	225.7	445.7	773.5	152.9	147.4	132.0	241.0	242.3	393.2	498.3	132.8	264.3	353.7	101.8	72.0	100.9	104.5	78.3	131.2	FAS
FAS_SRR2175868_NODE_1803_length_9180_cov_90.673539_g1106_i0_1	321.7	97.9	133.5	94.1	91.2	505.1	129.3	351.1	397.0	819.6	128.6	223.4	435.9	762.2	155.3	147.1	131.5	234.5	235.7	381.5	496.4	128.4	258.5	346.6	96.0	71.5	105.0	102.7	77.7	130.5	FAS
FAS_SRR2889752_NODE_192_length_8760_cov_276.647470_g149_i0_1	316.5	89.8	117.2	82.9	68.4	500.9	124.6	347.2	391.3	839.2	114.3	211.0	420.7	754.5	144.8	140.3	115.5	223.9	224.7	374.7	490.0	123.0	249.5	317.9	90.3	67.4	93.5	92.8	78.0	122.4	FAS
FAS_SRR2912833_NODE_40_length_9157_cov_28.606977_g32_i0_1	301.6	79.2	125.5	85.0	80.6	460.2	107.0	313.2	346.0	779.2	128.4	174.8	426.2	758.4	145.6	126.8	98.3	205.0	205.5	361.1	472.6	105.9	250.0	316.6	85.1	69.2	93.7	99.5	82.5	129.3	FAS
FAS_SRR3218403_NODE_371_length_8288_cov_274.874985_g127_i3_1	301.9	79.9	127.5	85.9	81.0	461.9	105.3	312.9	350.5	784.9	127.1	175.8	429.6	762.9	144.2	129.6	103.4	203.5	204.0	364.5	471.2	110.4	251.4	321.2	90.9	69.3	97.9	101.2	84.7	129.5	FAS
FAS_SRR3218422_NODE_191_length_9241_cov_226.286739_g136_i0_2	301.9	79.9	127.5	85.9	81.1	461.8	105.3	312.6	351.3	786.0	127.1	176.8	429.8	764.0	144.6	129.6	103.5	203.5	204.0	365.4	472.1	110.4	251.4	321.9	90.9	69.3	97.9	101.1	84.7	129.5	FAS
FAS_SRR3358325_NODE_531_length_12130_cov_25.120557_g306_i0_2	294.7	87.0	122.6	84.3	86.5	464.2	100.5	328.9	342.7	803.8	127.9	188.1	421.5	760.1	141.4	128.2	112.4	207.6	208.2	352.6	475.6	109.7	241.4	316.3	88.9	67.2	91.3	101.1	85.7	128.0	FAS
FAS_SRR3714583_NODE_111_length_8948_cov_47.770986_g83_i0_1	335.6	85.5	116.5	91.9	75.8	501.9	131.3	347.4	389.2	845.1	119.3	194.3	432.5	785.1	148.8	117.1	122.3	221.8	222.4	380.5	508.4	119.8	263.2	340.8	96.5	75.6	90.7	97.3	68.9	126.6	FAS
FAS_SRR3714583_NODE_237_length_7687_cov_27.865148_g168_i0_1	266.8	91.3	126.7	91.0	82.3	338.5	78.5	239.7	301.5	520.8	119.8	171.7	351.0	645.5	148.8	106.8	105.9	154.0	152.9	291.3	475.7	89.4	199.1	274.5	83.4	84.3	109.2	66.1	86.3	130.4	AFLP
FAS_SRR3928172_NODE_638_length_8205_cov_166.054806_g428_i0_1	308.1	85.0	128.9	91.1	84.7	513.9	117.4	375.0	402.8	858.9	121.6	195.9	430.9	791.9	155.3	137.3	121.8	232.0	233.0	391.7	479.6	111.0	264.4	338.8	97.0	77.1	98.4	93.8	87.7	132.5	FAS
FAS_SRR5043294_NODE_1733_length_7933_cov_84.690331_g971_i1_2	329.3	83.5	115.2	88.9	73.6	492.9	122.4	336.4	393.4	849.6	117.5	181.6	434.3	779.3	144.0	110.4	116.6	229.2	229.9	385.5	503.8	115.4	260.9	336.4	90.0	70.6	86.2	96.0	68.1	119.1	FAS
FAS_SRR6201763_NODE_1008_length_7456_cov_7.259651_g518_i1_1	323.7	75.0	110.7	92.5	78.1	510.9	127.5	343.3	404.3	845.1	113.3	197.4	435.1	784.9	146.4	124.8	124.9	222.7	224.6	387.0	495.7	113.4	261.6	341.8	95.4	71.3	95.5	90.0	71.0	122.8	FAS
FAS_SRR6459618_NODE_54_length_7905_cov_263.900713_g19_i1_1	322.3	86.1	132.1	92.1	87.5	506.4	123.2	351.8	393.2	834.6	123.1	205.0	427.8	781.9	160.4	127.5	98.2	235.2	236.0	385.4	492.1	120.2	264.1	323.8	94.8	79.2	100.2	91.6	79.3	132.7	FAS
FAS_SRR6832922_NODE_518_length_10084_cov_895.683807_g28_i3_1	314.7	84.6	126.8	80.7	88.6	477.9	98.5	335.5	361.0	799.7	127.8	195.1	437.2	771.3	149.0	124.7	112.2	214.4	215.0	373.7	479.7	107.4	254.1	320.6	92.7	74.8	100.0	100.2	93.7	130.0	FAS
FAS_SRR6911229_NODE_33_length_9911_cov_27.594246_g12_i0_1	298.8	85.4	135.8	83.9	98.8	460.3	107.3	317.3	351.1	797.1	131.6	201.8	414.7	757.8	154.0	133.6	102.1	198.3	198.7	353.7	487.2	108.5	255.2	314.0	93.4	78.0	104.6	100.3	76.5	134.9	FAS
FAS_SRR6926337_NODE_6544_length_1865_cov_3.307269_g3738_i0_1	312.4	90.9	121.8	85.0	80.1	511.4	119.7	333.4	389.6	817.6	126.9	215.5	426.7	760.4	146.9	134.4	121.7	231.5	232.5	377.6	494.3	124.8	258.0	335.4	94.4	81.4	101.0	88.9	76.8	129.5	FAS
FAS_SRR7138063_NODE_2150_length_4142_cov_77.774249_g1257_i3_1	343.5	80.7	122.0	102.3	84.7	510.8	130.6	347.4	396.5	839.0	128.1	193.4	439.2	791.2	155.7	119.5	125.6	229.0	229.7	388.0	510.6	116.2	267.6	347.2	99.0	80.9	92.8	103.2	74.2	129.3	FAS
FAS_SRR7138063_NODE_3493_length_3467_cov_25.427150_g2048_i1_2	268.2	97.1	112.8	88.5	74.6	364.1	79.8	248.8	317.7	504.9	116.4	163.3	358.5	647.1	140.1	94.1	93.5	167.6	167.2	308.6	466.1	75.7	210.7	285.9	78.5	78.9	90.8	61.9	71.8	122.2	AFLP
FAS_SRR7160962_NODE_342_length_8117_cov_11.382003_g246_i0_1	310.9	100.5	119.2	99.9	87.8	514.0	123.6	357.9	384.6	855.2	129.4	217.3	432.8	768.1	157.1	145.6	125.4	235.5	236.7	381.1	510.1	119.7	270.8	335.2	105.7	79.6	104.8	102.1	88.6	137.3	FAS
FAS_SRR7369732_NODE_2005_length_8827_cov_256.233607_g902_i1_1	322.3	92.2	119.9	87.0	70.6	503.8	127.9	352.1	391.2	836.6	118.0	217.2	424.9	756.1	148.3	148.1	119.4	227.6	228.5	377.7	492.1	123.7	251.8	316.5	94.9	68.8	97.3	98.4	81.6	127.3	FAS
FAS_SRR7781178_NODE_375_length_7661_cov_67.663295_g221_i1_1	312.8	80.3	118.6	94.6	80.6	505.8	125.0	338.0	408.1	830.1	122.8	203.1	427.0	778.0	150.5	132.9	128.2	226.0	226.8	382.7	493.4	115.3	254.1	339.9	97.3	77.3	101.6	92.7	77.4	128.8	FAS
FAS_SRR7811718_NODE_606_length_8351_cov_1788.184827_g422_i0_2	323.3	91.9	133.8	93.7	82.2	503.2	127.1	358.5	389.0	846.9	132.2	205.3	425.4	771.7	164.8	137.3	107.3	242.7	243.5	387.5	502.1	124.5	265.8	326.4	103.0	87.9	106.5	102.2	85.0	139.6	FAS
FAS_SRR8080746_NODE_85_length_13636_cov_97.053749_g44_i0_1	305.7	78.8	131.1	86.1	83.6	473.2	103.4	327.0	351.1	789.4	133.4	193.7	431.4	768.9	152.3	137.8	126.2	211.2	211.7	364.0	481.9	108.7	255.6	320.8	87.3	72.8	92.6	104.2	95.1	133.7	FAS
FAS_SRR8282417_NODE_127_length_9880_cov_310.598861_g80_i0_2	301.0	85.7	137.2	85.4	100.6	466.6	109.0	321.7	354.5	799.9	134.0	206.4	417.0	759.9	156.1	135.5	105.4	199.8	200.2	355.8	488.6	108.5	257.7	316.0	95.5	79.7	105.9	102.2	78.2	137.1	FAS
FAS_SRR8286397_NODE_25_length_9103_cov_33.122982_g17_i0_2	311.5	83.8	124.0	82.9	75.9	462.0	105.0	316.5	351.9	761.6	131.2	189.6	426.9	750.2	145.9	130.9	117.2	197.6	198.0	361.8	473.0	123.0	259.7	325.2	93.3	77.0	94.0	90.6	90.7	131.4	FAS
FAS_SRR8485193_NODE_1590_length_6172_cov_42.309278_g587_i3_1	323.2	75.8	112.6	93.6	79.3	510.9	128.2	343.6	408.1	852.8	114.4	197.7	436.6	787.5	147.6	124.2	126.6	227.4	228.2	389.5	495.5	114.6	261.2	343.1	95.9	71.6	96.1	89.7	71.2	124.1	FAS
FAS_SRR8573942_NODE_17423_length_2254_cov_5.377350_g11650_i0_1	318.8	88.9	135.2	78.9	98.1	491.7	120.7	347.2	380.3	787.2	144.6	196.4	423.7	736.0	158.6	147.3	127.0	234.4	235.4	373.2	482.4	116.8	270.0	335.1	91.0	79.3	96.0	109.1	103.7	147.1	FAS
FAS_SRR8782947_NODE_11328_length_2214_cov_5.173672_g8585_i0_1	323.8	95.5	126.4	92.6	85.8	508.9	128.2	349.0	398.2	826.3	123.1	216.2	437.9	764.1	151.2	140.6	125.8	237.9	239.0	385.4	497.0	127.0	254.9	349.1	97.8	67.7	100.7	100.9	73.5	125.8	FAS
FLP_Clade4_SRR11909995_NODE_1548_length_5954_cov_10.998645_g1023_i0_2	240.9	81.9	92.4	76.3	67.7	328.3	126.4	253.6	251.4	359.2	107.7	174.4	330.3	444.0	120.7	126.0	126.9	199.3	199.5	282.3	348.7	85.7	214.1	245.7	78.7	71.4	95.4	63.3	75.7	120.0	AFLP
FLP_Clade5_SRR1505138_NODE_250_nrpspksdomains_ctg252_1_PKS_KS.1_	360.7	109.5	149.3	86.1	94.4	566.5	134.4	375.7	443.8	235.0	153.2	197.7	471.9	345.7	179.5	142.4	149.6	260.1	261.2	490.8	287.2	90.2	272.4	412.5	110.1	104.7	135.5	100.7	77.5	149.2	mollusk_PKS
FLP_DRR077433_NODE_6074_length_2820_cov_20.223746_g1742_i5_1	242.6	73.3	100.1	82.9	63.3	340.3	136.5	253.0	260.3	436.5	123.1	181.7	322.3	432.3	133.0	116.1	99.8	162.5	162.4	293.3	326.2	92.6	219.0	242.3	73.5	88.0	101.3	74.5	64.2	124.8	AFLP
FLP_SRR10527243_NODE_87_length_8387_cov_4.405853_g56_i0_3	123.4	47.3	49.2	51.2	22.7	57.3	48.8	121.2	90.2	90.7	54.7	38.2	187.5	232.5	60.1	28.0	33.3	89.1	83.8	149.3	224.7	39.5	123.5	134.5	35.4	37.6	43.8	33.4	21.3	50.9	AFLP
FLP_SRR10527251_NODE_75_length_8229_cov_20.150733_g53_i0_1	247.0	88.3	99.6	84.2	48.9	301.6	121.7	229.8	258.5	380.8	119.0	137.0	334.0	438.6	125.6	103.6	61.1	164.6	164.2	292.9	370.2	82.1	227.2	227.4	52.8	78.5	102.1	48.6	60.0	110.8	AFLP
FLP_SRR10527256_NODE_6863_length_1648_cov_4.051907_g4582_i0_1	205.8	67.6	67.6	72.8	28.9	223.9	92.6	198.4	209.2	209.6	79.9	53.6	270.1	317.1	93.8	79.9	79.7	125.0	124.3	233.2	275.0	30.3	185.5	213.3	61.1	42.1	70.6	39.5	36.8	72.1	AFLP
FLP_SRR10756828_NODE_4235_length_2891_cov_3.266293_g2801_i0_1	273.0	72.4	98.3	93.8	68.3	364.3	127.0	253.1	280.9	365.6	117.9	173.8	318.1	458.0	132.3	105.8	93.8	202.1	202.5	288.5	349.0	87.5	230.6	242.8	63.7	79.8	90.7	80.0	68.8	118.7	AFLP
FLP_SRR10802050_NODE_1201_length_7698_cov_72.301377_g813_i0_1	270.1	78.2	97.6	66.2	57.3	359.5	121.9	253.8	249.2	355.8	100.4	149.0	337.9	455.6	130.6	86.7	91.8	198.2	198.5	303.5	351.6	80.8	221.4	257.2	61.3	71.2	89.5	65.7	63.1	106.4	AFLP
FLP_SRR11015441_NODE_466_length_10189_cov_98.924674_g328_i0_1	362.8	103.7	146.2	87.5	92.0	603.1	145.6	400.0	453.7	328.7	153.4	212.4	478.1	354.2	180.7	143.6	147.3	260.5	261.6	488.9	289.1	93.3	287.2	406.6	106.4	109.0	122.1	94.4	75.0	143.2	mollusk_PKS
FLP_SRR11252435_NODE_2539_length_2462_cov_16.152853_g1526_i0_1	261.3	95.8	96.3	95.7	60.7	376.2	139.5	261.0	270.4	472.3	114.7	180.2	332.9	450.6	141.7	114.0	103.3	193.2	193.5	296.9	354.0	93.3	243.4	256.6	77.4	80.6	89.9	62.8	84.2	114.0	AFLP
FLP_SRR11811214_NODE_13333_length_2447_cov_11.023589_g8670_i0_1	240.2	89.2	80.8	58.2	52.0	255.0	117.6	197.4	228.6	329.3	95.6	120.0	305.8	406.9	91.6	75.7	54.4	135.0	128.6	250.5	336.0	78.9	204.3	211.4	52.4	51.8	71.6	54.3	55.0	80.7	AFLP
FLP_SRR11811227_NODE_119_length_7547_cov_173.789805_g71_i1_1	253.8	73.8	97.6	70.6	55.7	371.6	110.5	273.1	284.8	400.7	114.6	166.9	336.7	452.2	130.9	100.1	118.1	178.5	178.4	291.2	353.4	92.6	213.7	261.3	80.0	79.1	77.4	82.0	71.1	108.6	AFLP
FLP_SRR11909995_NODE_1548_length_5954_cov_10.998645_g1023_i0_2	240.7	81.8	92.3	76.2	67.5	328.4	126.5	253.5	251.3	359.3	107.5	174.7	330.1	443.8	120.6	125.9	126.8	199.4	199.6	282.1	348.5	85.5	214.0	245.5	78.6	71.3	95.2	63.1	75.5	119.8	AFLP
FLP_SRR1265867_NODE_713_length_6457_cov_244.098939_g490_i0_1	259.7	73.0	97.6	87.9	69.8	363.0	150.5	247.8	276.2	443.5	117.2	163.0	312.3	442.5	126.3	107.3	108.9	210.6	211.2	303.2	340.1	82.3	232.5	254.3	60.2	72.0	92.2	67.7	57.6	113.1	AFLP
FLP_SRR1505115_NODE_1214_length_5992_cov_79.412170_g760_i1_1	267.3	86.8	113.6	95.8	82.7	356.0	136.0	277.2	306.2	378.9	125.5	188.8	336.6	471.0	139.0	122.4	93.0	203.0	203.3	304.0	365.2	90.7	218.6	268.3	89.4	85.6	107.6	82.3	69.5	126.0	AFLP
FLP_SRR1505135_NODE_451_length_7516_cov_13.630414_g346_i0_1	236.1	80.7	84.1	76.3	54.8	219.5	125.8	206.5	187.1	234.8	110.8	122.1	275.1	313.9	114.1	83.9	84.8	116.9	115.2	231.3	281.0	66.4	224.9	209.4	71.7	50.1	95.2	57.3	54.4	85.8	AFLP
FLP_SRR1505138_NODE_250_length_9151_cov_132.594924_g190_i0_1	360.2	109.5	149.3	85.9	93.9	566.8	136.1	375.2	443.6	235.5	153.0	199.1	471.4	347.5	179.5	142.4	150.0	261.3	262.3	496.9	286.7	89.9	272.0	412.0	110.0	104.2	135.1	101.0	77.2	149.2	mollusk_PKS
FLP_SRR1505138_NODE_283_length_8920_cov_660.748281_g209_i0_2	380.7	114.5	153.1	79.4	86.6	575.0	135.5	376.7	445.1	279.9	160.3	200.3	487.0	357.2	189.4	136.6	143.7	261.6	262.6	497.6	280.9	96.7	276.2	422.1	96.1	107.5	123.7	102.8	84.5	143.0	mollusk_PKS
FLP_SRR15300633_NODE_582_length_10603_cov_86.925640_g242_i1_1	374.0	116.6	150.6	78.2	92.5	614.9	139.5	407.5	463.8	280.5	162.2	204.1	499.3	359.3	186.7	143.9	156.2	284.4	285.7	507.4	275.9	93.5	284.6	429.2	94.3	108.6	119.6	108.3	76.9	146.6	mollusk_PKS
FLP_SRR15300633_NODE_957_length_9628_cov_331.848963_g460_i2_2	365.1	103.0	146.7	89.3	88.5	595.1	142.7	384.6	448.5	297.3	151.1	206.7	479.7	347.5	172.8	136.8	148.7	243.6	257.5	489.1	284.5	91.6	284.0	406.0	107.0	107.0	123.0	89.6	75.6	143.6	mollusk_PKS
FLP_SRR1542609_NODE_2086_length_6165_cov_28.017495_g962_i1_2	262.0	84.0	90.5	79.2	65.6	314.7	114.5	243.2	243.6	356.1	97.7	158.5	315.4	437.0	124.2	94.8	89.1	203.0	203.4	295.1	335.3	82.2	218.4	252.1	73.7	71.5	84.7	59.3	65.1	101.3	AFLP
FLP_SRR1542642_NODE_17639_length_2520_cov_43.986645_g3154_i3_1	262.5	81.9	93.3	81.5	65.5	319.2	115.8	247.8	246.2	365.7	103.5	165.4	318.2	439.1	126.8	100.4	94.0	201.8	202.1	297.5	339.6	85.0	221.1	251.5	73.3	75.6	88.6	58.6	69.3	106.6	AFLP
FLP_SRR17649335_NODE_643_length_10378_cov_7.277955_g467_i0_1	207.2	51.0	81.4	77.2	33.6	221.7	91.7	182.9	196.4	258.2	92.7	111.8	266.3	325.4	95.9	52.6	55.2	115.0	111.9	228.2	298.6	47.5	191.9	218.2	51.4	45.9	79.2	45.4	31.6	78.4	AFLP
FLP_SRR17920676_NODE_30107_length_1342_cov_4.992908_g21142_i0_1	288.8	82.7	104.3	75.5	59.4	348.7	75.9	269.2	297.1	496.3	114.0	179.8	346.7	523.2	127.1	114.0	94.5	179.6	180.0	294.2	424.1	101.5	202.0	260.4	66.8	63.1	87.3	66.8	78.5	113.1	AFLP
FLP_SRR17920678_NODE_3040_length_8963_cov_30.844432_g2444_i0_1	269.7	72.1	93.0	66.4	46.8	344.0	108.8	263.6	267.8	433.2	109.7	149.7	356.0	492.2	127.7	87.3	69.3	163.5	163.3	305.0	397.3	82.7	221.2	261.3	62.7	56.3	88.3	65.8	75.3	103.1	AFLP
FLP_SRR18452366_NODE_30644_length_1721_cov_5.112651_g1129_i1_1	262.7	83.8	93.5	81.7	66.2	322.1	116.6	250.0	245.3	366.1	104.2	164.6	318.8	439.4	126.3	101.0	94.4	199.5	199.8	297.9	339.7	85.4	220.7	251.6	73.7	75.9	88.8	58.9	69.1	106.7	AFLP
FLP_SRR1920139_NODE_58_length_10132_cov_35.055902_g40_i0_1	363.6	99.5	141.1	85.1	91.0	595.6	147.9	397.7	453.2	294.0	153.3	203.5	479.6	345.6	178.8	138.5	150.0	263.4	264.7	505.1	283.9	92.4	289.1	427.9	101.9	97.6	120.6	85.6	71.6	135.8	mollusk_PKS
FLP_SRR1920139_NODE_69_length_9504_cov_247.242998_g51_i0_1	365.7	110.6	149.1	76.7	82.2	591.7	132.9	399.2	452.0	283.8	154.0	192.3	492.3	354.0	177.5	142.1	148.6	279.4	280.6	497.5	275.7	94.3	278.3	418.5	93.6	95.4	113.7	101.6	81.1	142.2	mollusk_PKS
FLP_SRR1924221_NODE_90_length_7924_cov_44.279279_g21_i1_1	371.8	111.9	151.2	78.9	86.1	590.3	136.1	398.3	450.7	282.6	157.4	195.0	498.0	354.5	179.7	139.7	149.7	281.6	282.8	498.5	278.2	94.4	284.2	424.1	96.6	99.0	115.1	104.9	83.9	143.9	mollusk_PKS
FLP_SRR2889752_NODE_3176_length_3840_cov_264.577561_g778_i1_1	210.8	80.1	83.7	73.2	50.5	263.0	119.2	217.3	210.7	324.3	99.6	133.5	267.1	365.8	101.3	94.8	80.2	142.5	142.3	246.4	296.4	41.2	186.7	203.2	50.2	59.8	89.0	58.7	57.9	95.5	AFLP
FLP_SRR2912833_NODE_89_length_7330_cov_46.534638_g74_i0_1	233.2	90.6	103.7	77.2	59.1	308.8	126.1	235.5	256.6	406.8	107.9	132.4	337.7	445.8	123.6	94.3	68.5	177.7	177.8	293.8	358.9	82.1	213.4	253.8	60.8	87.0	106.5	51.8	69.6	110.3	AFLP
FLP_SRR3218403_NODE_11217_length_2408_cov_4.217153_g6159_i0_1	222.5	85.2	96.2	86.7	50.4	310.8	107.9	242.2	279.9	366.8	102.1	135.2	322.4	424.3	124.9	90.1	84.0	152.9	145.2	280.5	376.8	89.6	207.0	256.4	73.5	66.9	96.0	59.7	58.8	109.7	AFLP
FLP_SRR3218403_NODE_4906_length_3590_cov_14.622711_g2686_i0_1	234.3	108.4	121.4	90.9	67.3	322.0	129.4	257.3	294.6	407.7	130.9	157.1	345.6	449.5	148.1	113.9	87.0	167.6	163.8	302.2	378.7	84.9	221.8	254.1	65.0	86.9	129.9	66.1	84.9	130.5	AFLP
FLP_SRR3218403_NODE_789_length_6797_cov_90.652901_g458_i0_1	231.5	100.9	98.8	75.8	55.9	306.3	113.5	248.1	288.9	371.0	101.8	118.7	326.8	431.6	120.4	106.1	95.5	158.9	158.6	287.9	367.7	71.8	199.1	243.5	57.5	76.2	108.0	49.2	67.8	107.1	AFLP
FLP_SRR3218403_NODE_8837_length_2726_cov_33.690875_g344_i1_1	224.9	89.3	94.7	74.7	57.2	293.2	124.3	222.6	248.5	396.6	106.8	129.0	334.3	428.4	121.7	87.0	59.2	164.3	155.8	282.7	348.3	78.5	211.7	244.5	55.8	83.3	108.6	48.2	69.8	99.6	AFLP
FLP_SRR3218404_NODE_1746_length_5166_cov_103.017951_g981_i1_1	234.9	109.3	116.4	91.2	65.8	321.2	132.0	257.6	292.3	432.0	129.9	147.8	343.9	444.3	142.0	112.4	91.7	173.9	173.8	304.6	379.4	79.4	221.4	261.3	66.2	90.9	124.2	59.9	77.2	127.5	AFLP
FLP_SRR3218405_NODE_838_length_6680_cov_35.577346_g494_i0_1	234.9	109.2	116.1	91.2	65.6	322.1	132.0	257.6	293.1	433.1	129.8	147.9	344.7	445.3	142.0	112.4	91.7	173.8	173.8	305.2	380.7	79.4	221.4	261.8	66.2	90.5	123.9	59.8	77.2	127.2	AFLP
FLP_SRR3218406_NODE_2630_length_4572_cov_142.312293_g735_i1_1	231.5	101.0	99.1	75.8	56.0	305.4	113.5	248.1	288.2	369.8	101.9	118.7	326.0	430.5	120.5	106.1	95.5	159.0	158.6	287.3	366.3	71.8	199.0	243.0	57.5	76.8	108.3	49.3	67.8	107.4	AFLP
FLP_SRR3218407_NODE_2102_length_5212_cov_7.085477_g1135_i1_1	226.8	87.2	107.3	91.7	65.9	328.2	96.7	249.5	287.5	384.1	104.1	139.6	343.1	444.2	126.5	93.0	100.7	167.6	167.4	298.7	376.4	89.3	215.3	248.8	72.6	73.6	107.0	66.4	58.1	114.0	AFLP
FLP_SRR3218407_NODE_5187_length_3629_cov_4.848384_g2806_i0_1	222.8	84.7	96.3	86.7	50.4	310.7	107.8	241.7	279.6	369.0	102.2	134.9	322.6	424.1	124.9	88.3	85.9	152.8	145.0	280.7	377.6	89.4	207.0	256.1	71.7	66.8	95.8	58.8	58.7	109.7	AFLP
FLP_SRR3218407_NODE_5304_length_3595_cov_4.454980_g2874_i0_1	245.4	95.1	90.7	75.9	55.5	296.0	134.3	220.5	249.8	333.9	94.3	161.1	325.9	416.7	121.7	98.5	59.6	156.4	156.0	270.6	340.2	91.1	195.1	233.9	70.9	74.5	110.7	58.8	61.9	95.8	AFLP
FLP_SRR3218407_NODE_884_length_6816_cov_54.991439_g92_i1_1	235.6	109.1	116.6	91.4	66.0	321.6	132.6	256.2	293.9	433.3	130.9	148.1	344.2	445.8	142.5	110.1	89.9	174.1	174.1	305.2	381.4	79.7	221.3	262.6	66.9	91.0	124.4	60.5	77.9	127.9	AFLP
